Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,Database
Greetings from local legends: At a loss for a cool gift? Order a personalized Cameo video greeting.,,2400900482,Newspapers,"Criblez, David J",," Copyright Newsday LLC May 12, 2020", News," May 12, 2020", English, English," Long Island, N.Y.","May 12, 2020",Newsday,2020,https://search.proquest.com/docview/2400900482?accountid=37869, 2," Comedians , Celebrities , Birthdays , Coronaviruses , Gaming machines , COVID-19 , Quarantine , Stern, Howard , Cousteau, Jacques",,"eLibrary,U.S. Newsstream"
"Peter Willie of Freeport: Former NYPD officer was 'strict, but very loving' father",,2401682682,Newspapers,"Stephenson, Colin"," Police Department-New York City NY
922120"," Copyright Newsday LLC May 11, 2020", News," May 11, 2020", English, English," Long Island, N.Y.","May 11, 2020",Newsday,2020,https://search.proquest.com/docview/2401682682?accountid=37869, 12, North Carolina,,"eLibrary,U.S. Newsstream"
NOTEBOOK: HICKSVILLE JUNIOR WINS ART CONTEST,,2400155715,Newspapers,"Ebert, Michael R",," Copyright Newsday LLC May 10, 2020", News," May 10, 2020", English, English," Long Island, N.Y.","May 10, 2020",Newsday,2020,https://search.proquest.com/docview/2400155715?accountid=37869, 14," Art galleries & museums , Appointments & personnel changes , Students , Middle schools , Secondary schools , School principals , COVID-19 , Music education , School districts , Painting , Lopez, Stephanie , Long Island New York",,"eLibrary,U.S. Newsstream"
NOTEBOOK: HICKSVILLE JUNIOR WINS ART CONTEST,,2400155679,Newspapers,"Ebert, Michael R",," Copyright Newsday LLC May 10, 2020", News," May 10, 2020", English, English," Long Island, N.Y.","May 10, 2020",Newsday,2020,https://search.proquest.com/docview/2400155679?accountid=37869, 13," Art galleries & museums , Students , Teams , Dance , Awards & honors , Middle schools , Coronaviruses , Secondary schools , Music education , School districts , COVID-19 , Painting , Lopez, Stephanie , Long Island New York",,"eLibrary,U.S. Newsstream"
"Carmelia Cafaro of North Babylon: Devoted mom, schoolteacher",,2399740399,Newspapers,"Rieber, Anthony",," Copyright Newsday LLC May 6, 2020", News," May 6, 2020", English, English," Long Island, N.Y.","May 6, 2020",Newsday,2020,https://search.proquest.com/docview/2399740399?accountid=37869, 12,,,"eLibrary,U.S. Newsstream"
HEMPSTEAD TOWN: TOWN AWARDS $2M FOR POP-UP FOOD BANKS,,2398429545,Newspapers,"Asbury, John"," Long Island Cares
624210
624310"," Copyright Newsday LLC May 6, 2020", News," May 6, 2020", English, English," Long Island, N.Y.","May 6, 2020",Newsday,2020,https://search.proquest.com/docview/2398429545?accountid=37869, 25," Food programs , Coronaviruses , Funding , Pandemics , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
"Businesses re-evaluate: Amid COVID-19, some wonder how, or if, self-employment will endure",,2398429527,Newspapers,"Ortiz, Keldy"," Long Island Rail Road
485999"," Copyright Newsday LLC May 6, 2020", News," May 6, 2020", English, English," Long Island, N.Y.","May 6, 2020",Newsday,2020,https://search.proquest.com/docview/2398429527?accountid=37869, 21," Families & family life , Social distancing , Small business loans , Presidents , Bars , Coronaviruses , Coronavirus Aid Relief & Economic Security Act 2020-US , Pandemics , COVID-19 , Restaurants , Long Island New York",,"eLibrary,U.S. Newsstream"
Ways LIers repurposed their mom's wedding dress: LI brides have taken 'something borrowed' to a new level,,2397452883,Newspapers,"Irizarry, Lisa",," Copyright Newsday LLC May 4, 2020", News," May 4, 2020", English, English," Long Island, N.Y.","May 4, 2020",Newsday,2020,https://search.proquest.com/docview/2397452883?accountid=37869, 4," Clothing , Families & family life , Weddings , Marriage , Awards & honors , Long Island New York",,"eLibrary,U.S. Newsstream"
Everybody loves more LI-related questions: Bonus: Do you remember all the Island connections from these four TV shows?,,2397287227,Newspapers,"Edelstein, Andy;Gay, Verne",," Copyright Newsday LLC May 3, 2020", News," May 3, 2020", English, English," Long Island, N.Y.","May 3, 2020",Newsday,2020,https://search.proquest.com/docview/2397287227?accountid=37869, 8," Garrett, Brad , Romano, Ray , James, Kevin , Long Island New York , Boyle, Peter",,"eLibrary,U.S. Newsstream"
Lesson 1: Changing how we fund schools,,2397287218,Newspapers,,," Copyright Newsday LLC May 3, 2020", News," May 3, 2020", English, English," Long Island, N.Y.","May 3, 2020",Newsday,2020,https://search.proquest.com/docview/2397287218?accountid=37869, 43, School districts,,"eLibrary,U.S. Newsstream"
MLB FINALLY GIVES OK FOR TEAMS TO ISSUE REFUNDS: METS AND YANKS ALLOWED TO UPDATE TICKET POLICY TODAY,,2395469462,Newspapers,"Healey, Tim",," Copyright Newsday LLC Apr 29, 2020", News," Apr 29, 2020", English, English," Long Island, N.Y.","Apr 29, 2020",Newsday,2020,https://search.proquest.com/docview/2395469462?accountid=37869, 42," Teams , Pandemics , Refunds , COVID-19 , Arizona",,"eLibrary,U.S. Newsstream"
"An ode to sangria, a drink for all time",,2394644608,Newspapers,"Bruning, Fred",," Copyright Newsday LLC Apr 26, 2020", News," Apr 26, 2020", English, English," Long Island, N.Y.","Apr 26, 2020",Newsday,2020,https://search.proquest.com/docview/2394644608?accountid=37869, 17,,,"eLibrary,U.S. Newsstream"
Letters,,2393552885,Newspapers,,," Copyright Newsday LLC Apr 23, 2020", News," Apr 23, 2020", English, English," Long Island, N.Y.","Apr 23, 2020",Newsday,2020,https://search.proquest.com/docview/2393552885?accountid=37869, 26," Unemployment , Censuses , Medical supplies , Coronaviruses , Pandemics , COVID-19",,"eLibrary,U.S. Newsstream"
Virus a threat to retirement pay: Going on fewer calls could lessen firefighters' perks,,2392906107,Newspapers,"Phillips, Ted",," Copyright Newsday LLC Apr 22, 2020", News," Apr 22, 2020", English, English," Long Island, N.Y.","Apr 22, 2020",Newsday,2020,https://search.proquest.com/docview/2392906107?accountid=37869, 14," Meetings , Fires , Fire departments , Coronaviruses , Retirement benefits , Volunteers , Pandemics , COVID-19 , New York",,"eLibrary,U.S. Newsstream"
"For some at Coliseum, no aid: Outside cashiers say they're not treated fairly",,2391796495,Newspapers,"Baumbach, Jim"," Skype Technologies SA
511210"," Copyright Newsday LLC Apr 20, 2020", News," Apr 20, 2020", English, English," Long Island, N.Y.","Apr 20, 2020",Newsday,2020,https://search.proquest.com/docview/2391796495?accountid=37869, 15," Employees , Workers , COVID-19",,"eLibrary,U.S. Newsstream"
LOVE STORY: A SOFTBALL GAME MADE THEM WINNERS FOR LIFE,,2391266737,Newspapers,,," Copyright Newsday LLC Apr 19, 2020", News," Apr 19, 2020", English, English," Long Island, N.Y.","Apr 19, 2020",Newsday,2020,https://search.proquest.com/docview/2391266737?accountid=37869, 10," Marriage , COVID-19",,"eLibrary,U.S. Newsstream"
Rich Alino: Westbury resident was a smiling face on Long Island's nightlife scene,,2390574493,Newspapers,"Stark, Ian J",," Copyright Newsday LLC Apr 17, 2020", News," Apr 17, 2020", English, English," Long Island, N.Y.","Apr 17, 2020",Newsday,2020,https://search.proquest.com/docview/2390574493?accountid=37869, 14," Medical research , Long Island New York",,"eLibrary,U.S. Newsstream"
"Pandemic skews LIRR ridership, on-time data",,2389119023,Newspapers,"Castillo, Alfonso A",," Copyright Newsday LLC Apr 14, 2020", News," Apr 14, 2020", English, English," Long Island, N.Y.","Apr 14, 2020",Newsday,2020,https://search.proquest.com/docview/2389119023?accountid=37869, 12," Customer services , Coronaviruses , Pandemics , Customer satisfaction , COVID-19",,"eLibrary,U.S. Newsstream"
Baldwin shares pic looking visibly pregnant,,2388672197,Newspapers,"Lovece, Frank",," Copyright Newsday LLC Apr 13, 2020", News," Apr 13, 2020", English, English," Long Island, N.Y.","Apr 13, 2020",Newsday,2020,https://search.proquest.com/docview/2388672197?accountid=37869, 17," Baldwin, Hilaria",,"eLibrary,U.S. Newsstream"
STAYING IN THE GAME: SELF-ISOLATION HAS MOVED SOCIAL CIRCLES TO GO ONLINE TO PLAY,,2388413441,Newspapers,"Solnik, Claude",," Copyright Newsday LLC Apr 12, 2020", News," Apr 12, 2020", English, English," Long Island, N.Y.","Apr 12, 2020",Newsday,2020,https://search.proquest.com/docview/2388413441?accountid=37869, 15," Teaching , Baby boomers , Coronaviruses , Games , Pandemics , COVID-19",,"eLibrary,U.S. Newsstream"
THIS week,,2388413058,Newspapers,"King, Peter",," Copyright Newsday LLC Apr 12, 2020", News," Apr 12, 2020", English, English," Long Island, N.Y.","Apr 12, 2020",Newsday,2020,https://search.proquest.com/docview/2388413058?accountid=37869, 38," Central banks , Economic indicators , Coronaviruses , COVID-19",,"eLibrary,U.S. Newsstream"
Forgotten '80s: Movies you may not have caught the first time around now await online,,2387933132,Newspapers,"Guzmán, Rafer",," Copyright Newsday LLC Apr 10, 2020", News," Apr 10, 2020", English, English," Long Island, N.Y.","Apr 10, 2020",Newsday,2020,https://search.proquest.com/docview/2387933132?accountid=37869, 11," Juvenile offenders , Motion picture directors & producers , Digital audio players , COVID-19 , McDormand, Frances",,"eLibrary,U.S. Newsstream"
"NONPROFITS STAGGER UNDER VIRUS STRAIN: SCANT DONATIONS, VOLUNTEER CRUNCH HURT HELP GROUPS",,2387158222,Newspapers,"Winslow, Olivia",," Copyright Newsday LLC Apr 8, 2020", News," Apr 8, 2020", English, English," Long Island, N.Y.","Apr 8, 2020",Newsday,2020,https://search.proquest.com/docview/2387158222?accountid=37869, 8," Coronaviruses , Pandemics , Nonprofit organizations , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
Baldwin expecting child again,,2386687704,Newspapers,"Lovece, Frank",," Copyright Newsday LLC Apr 7, 2020", News," Apr 7, 2020", English, English," Long Island, N.Y.","Apr 7, 2020",Newsday,2020,https://search.proquest.com/docview/2386687704?accountid=37869, 15," Baldwin, Alec",,"eLibrary,U.S. Newsstream"
Letters,,2386301666,Newspapers,,," Copyright Newsday LLC Apr 6, 2020", News," Apr 6, 2020", English, English," Long Island, N.Y.","Apr 6, 2020",Newsday,2020,https://search.proquest.com/docview/2386301666?accountid=37869, 26," Coronaviruses , Census of Population , Physicians , COVID-19 , United States--US",,"eLibrary,U.S. Newsstream"
"Baldwin talks home schooling: Mom of 4 shares daily routine, answers kids' questions while social-distancing",,2386113509,Newspapers,"Lovece, Frank",," Copyright Newsday LLC Apr 6, 2020", News," Apr 6, 2020", English, English," Long Island, N.Y.","Apr 6, 2020",Newsday,2020,https://search.proquest.com/docview/2386113509?accountid=37869, 18," Families & family life , COVID-19 , Baldwin, Alec , Baldwin, Hilaria",,"eLibrary,U.S. Newsstream"
"FOR CLASS OF '20, DREAMS DEFERRED: VIRUS CANCELING SENIOR MILESTONES",,2384712040,Newspapers,"Tyrrell, Joie",," Copyright Newsday LLC Apr 1, 2020", News," Apr 1, 2020", English, English," Long Island, N.Y.","Apr 1, 2020",Newsday,2020,https://search.proquest.com/docview/2384712040?accountid=37869, 8," High school basketball , Graduations & commencements , School principals , School districts , Long Island New York",,"eLibrary,U.S. Newsstream"
"LONG ISLAND: TOM MALONE, 65, ROSE TO PRESIDENT AT VOXX INTERNATIONAL",,2384710332,Newspapers,"Lauterbach, Jordan",," Copyright Newsday LLC Apr 1, 2020", News," Apr 1, 2020", English, English," Long Island, N.Y.","Apr 1, 2020",Newsday,2020,https://search.proquest.com/docview/2384710332?accountid=37869, 30," Kayaking , Appointments & personnel changes",,"eLibrary,U.S. Newsstream"
Newsday's All-Long Island boys basketball team 2020,,2384467483,Newspapers,"O'Brien, Owen",," Copyright Newsday LLC Mar 31, 2020", News," Mar 31, 2020", English, English," Long Island, N.Y.","Mar 31, 2020",Newsday,2020,https://search.proquest.com/docview/2384467483?accountid=37869, 36," Coaches & managers , High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
"COLLEGE TESTS IN LIMBO: CANCELED SAT, ACT EXAMS HAVE LI JUNIORS MIFFED",,2384425780,Newspapers,"Carrera, Catherine"," College Board-US
813410"," Copyright Newsday LLC Mar 31, 2020", News," Mar 31, 2020", English, English," Long Island, N.Y.","Mar 31, 2020",Newsday,2020,https://search.proquest.com/docview/2384425780?accountid=37869, 6," Tutoring , Students , Colleges & universities , Secondary schools , Learning , COVID-19",,"eLibrary,U.S. Newsstream"
Newsday's All-Long Island girls basketball team 2020,,2384228548,Newspapers,"Amato, Laura",," Copyright Newsday LLC Mar 30, 2020", News," Mar 30, 2020", English, English," Long Island, N.Y.","Mar 30, 2020",Newsday,2020,https://search.proquest.com/docview/2384228548?accountid=37869, 40," Tournaments & championships , Coaches & managers , High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
"It's been draining for athletes, too",,2384120999,Newspapers,"Gross, Andrew"," United States Tennis Association
813990"," Copyright Newsday LLC Mar 30, 2020", News," Mar 30, 2020", English, English," Long Island, N.Y.","Mar 30, 2020",Newsday,2020,https://search.proquest.com/docview/2384120999?accountid=37869, 45, COVID-19,,"eLibrary,U.S. Newsstream"
"FOR THE FANS, A TOUGH LOSS: PSYCHOLOGISTS: NO SPORTS TAKES AWAY KEY OUTLET",,2384120996,Newspapers,"Gross, Andrew",," Copyright Newsday LLC Mar 30, 2020", News," Mar 30, 2020", English, English," Long Island, N.Y.","Mar 30, 2020",Newsday,2020,https://search.proquest.com/docview/2384120996?accountid=37869, 44," Tennis , Anxieties , Strikes , Coronaviruses , COVID-19",,"eLibrary,U.S. Newsstream"
Letters,,2384497139,Newspapers,," National Grid
221122"," Copyright Newsday LLC Mar 29, 2020", News," Mar 29, 2020", English, English," Long Island, N.Y.","Mar 29, 2020",Newsday,2020,https://search.proquest.com/docview/2384497139?accountid=37869, 33," Presidents , Utility rates , Coronaviruses , Quarantine , COVID-19 , Trump, Donald J , Texas , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
They stick together,,2383342484,Newspapers,"Sarra, Gregg",," Copyright Newsday LLC Mar 27, 2020", News," Mar 27, 2020", English, English," Long Island, N.Y.","Mar 27, 2020",Newsday,2020,https://search.proquest.com/docview/2383342484?accountid=37869, 42," Coronaviruses , COVID-19",,"eLibrary,U.S. Newsstream"
Letters,,2382975999,Newspapers,,," Copyright Newsday LLC Mar 26, 2020", News," Mar 26, 2020", English, English," Long Island, N.Y.","Mar 26, 2020",Newsday,2020,https://search.proquest.com/docview/2382975999?accountid=37869, 27," Presidents , Nationalization , Leadership , Coronaviruses , Supplies , Pandemics , COVID-19 , Trump, Donald J , Long Island New York",,"eLibrary,U.S. Newsstream"
from hollywoodlife.com: Hilaria Baldwin: Alec only shook my hand for first six weeks we dated,,2382407932,Newspapers,"Lovece, Frank",," Copyright Newsday LLC Mar 25, 2020", News," Mar 25, 2020", English, English," Long Island, N.Y.","Mar 25, 2020",Newsday,2020,https://search.proquest.com/docview/2382407932?accountid=37869, 18," Baldwin, Alec , DeGeneres, Ellen , Baldwin, Hilaria",,"eLibrary,U.S. Newsstream"
